invoice_id,contract_id,customer_id,customer_name,invoice_date,billing_period,currency,quantity,unit_price,discount,tax,total_amount,reference_number
INV-1001,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-01-15,2025-01,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M1
INV-1002,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-02-15,2025-02,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M2
INV-1003,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-03-15,2025-03,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M3
INV-1004,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-04-15,2025-04,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M4
INV-1005,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-05-15,2025-05,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M5
INV-1006,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-06-15,2025-06,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M6
INV-1007,CTR-1001,CUST-201,Nexus Cloud Technologies Inc.,2025-07-15,2025-07,USD,100,100.0,1000.0,0.0,9000.0,PO-1001-M7
INV-1008,CTR-1002,CUST-202,Meridian Logistics Corp,2025-01-15,2025-01,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M1
INV-1009,CTR-1002,CUST-202,Meridian Logistics Corp,2025-02-15,2025-02,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M2
INV-1010,CTR-1002,CUST-202,Meridian Logistics Corp,2025-03-15,2025-03,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M3
INV-1011,CTR-1002,CUST-202,Meridian Logistics Corp,2025-04-15,2025-04,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M4
INV-1012,CTR-1002,CUST-202,Meridian Logistics Corp,2025-05-15,2025-05,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M5
INV-1013,CTR-1002,CUST-202,Meridian Logistics Corp,2025-06-15,2025-06,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M6
INV-1014,CTR-1002,CUST-202,Meridian Logistics Corp,2025-07-15,2025-07,USD,50,150.0,0.0,0.0,7500.0,PO-1002-M7
INV-1015,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-01-15,2025-01,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M1
INV-1016,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-02-15,2025-02,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M2
INV-1017,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-03-15,2025-03,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M3
INV-1018,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-04-15,2025-04,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M4
INV-1019,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-05-15,2025-05,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M5
INV-1020,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-06-15,2025-06,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M6
INV-1021,CTR-1003,CUST-203,Apex Health Solutions LLC,2025-07-15,2025-07,USD,1,18000.0,900.0,0.0,17100.0,PO-1003-M7
INV-1022,CTR-1004,CUST-204,Vortex Media Global,2025-01-15,2025-01,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M1
INV-1023,CTR-1004,CUST-204,Vortex Media Global,2025-02-15,2025-02,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M2
INV-1024,CTR-1004,CUST-204,Vortex Media Global,2025-03-15,2025-03,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M3
INV-1025,CTR-1004,CUST-204,Vortex Media Global,2025-04-15,2025-04,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M4
INV-1026,CTR-1004,CUST-204,Vortex Media Global,2025-05-15,2025-05,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M5
INV-1027,CTR-1004,CUST-204,Vortex Media Global,2025-06-15,2025-06,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M6
INV-1028,CTR-1004,CUST-204,Vortex Media Global,2025-07-15,2025-07,EUR,1,12500.0,0.0,0.0,12500.0,PO-1004-M7
INV-1029,CTR-1005,CUST-205,Horizon Financial Partners,2025-01-15,2025-01,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M1
INV-1030,CTR-1005,CUST-205,Horizon Financial Partners,2025-02-15,2025-02,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M2
INV-1031,CTR-1005,CUST-205,Horizon Financial Partners,2025-03-15,2025-03,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M3
INV-1032,CTR-1005,CUST-205,Horizon Financial Partners,2025-04-15,2025-04,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M4
INV-1033,CTR-1005,CUST-205,Horizon Financial Partners,2025-05-15,2025-05,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M5
INV-1034,CTR-1005,CUST-205,Horizon Financial Partners,2025-06-15,2025-06,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M6
INV-1035,CTR-1005,CUST-205,Horizon Financial Partners,2025-07-15,2025-07,USD,20,1200.0,3600.0,0.0,20400.0,PO-1005-M7
INV-1036,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-01-15,2025-01,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M1
INV-1037,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-02-15,2025-02,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M2
INV-1038,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-03-15,2025-03,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M3
INV-1039,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-04-15,2025-04,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M4
INV-1040,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-05-15,2025-05,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M5
INV-1041,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-06-15,2025-06,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M6
INV-1042,CTR-1006,CUST-206,Zenith Retail Systems Ltd,2025-07-15,2025-07,USD,250,40.0,0.0,0.0,10000.0,PO-1006-M7
INV-1043,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-01-15,2025-01,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M1
INV-1044,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-02-15,2025-02,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M2
INV-1045,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-03-15,2025-03,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M3
INV-1046,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-04-15,2025-04,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M4
INV-1047,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-05-15,2025-05,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M5
INV-1048,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-06-15,2025-06,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M6
INV-1049,CTR-1007,CUST-207,Bharat Data Analytics Pvt Ltd,2025-07-15,2025-07,INR,1,500000.0,50000.0,0.0,450000.0,PO-1007-M7
INV-1050,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-01-15,2025-01,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M1
INV-1051,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-02-15,2025-02,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M2
INV-1052,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-03-15,2025-03,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M3
INV-1053,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-04-15,2025-04,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M4
INV-1054,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-05-15,2025-05,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M5
INV-1055,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-06-15,2025-06,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M6
INV-1056,CTR-1008,CUST-208,Starlight Cyber Defense Corp,2025-07-15,2025-07,USD,1,14000.0,0.0,0.0,14000.0,PO-1008-M7
INV-1057,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-01-15,2025-01,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M1
INV-1058,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-02-15,2025-02,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M2
INV-1059,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-03-15,2025-03,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M3
INV-1060,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-04-15,2025-04,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M4
INV-1061,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-05-15,2025-05,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M5
INV-1062,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-06-15,2025-06,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M6
INV-1063,CTR-1009,CUST-209,Beacon Renewable Energy Group,2025-07-15,2025-07,USD,80,125.0,800.0,0.0,9200.0,PO-1009-M7
INV-1064,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-01-15,2025-01,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M1
INV-1065,CTR-1010,CUST-210,Titan Heavy Industries Inc.,2025-02-15,2025-02,USD,1,32000.0,0.0,0.0,32000.0,PO-1010-M2
